394,Gymnastics Women's Balance Beam
395,Diving Women's Springboard
395,Diving Women's Synchronized Springboard
397,"Athletics Women's 10,000 metres"
399,Sailing Mixed 7 metres
400,Judo Women's Half-Middleweight
402,Athletics Men's Decathlon
407,Biathlon Men's 10 kilometres Sprint
407,Biathlon Men's 20 kilometres
407,Biathlon Men's 4 x 7.5 kilometres Relay
415,Freestyle Skiing Men's Moguls
418,"Wrestling Men's Middleweight A, Greco-Roman"
419,Athletics Women's Discus Throw
424,Swimming Women's 4 x 100 metres Freestyle Relay
428,"Athletics Women's 1,500 metres"
429,"Shooting Women's Air Pistol, 10 metres"
429,"Shooting Women's Sporting Pistol, 25 metres"
432,"Canoeing Men's Kayak Doubles, 500 metres"
432,"Canoeing Men's Kayak Singles, 500 metres"
432,"Canoeing Men's Kayak Singles, 1,000 metres"
434,"Shooting Men's Running Target, 50 metres"
439,Judo Women's Half-Heavyweight
441,Athletics Women's Pole Vault
442,Rugby Sevens Women's Rugby Sevens
446,Table Tennis Men's Team
448,Figure Skating Mixed Pairs
452,Freestyle Skiing Men's Aerials
456,Rowing Women's Coxed Eights
459,Athletics Women's 4 x 400 metres Relay
462,Alpine Skiing Women's Giant Slalom
463,Alpine Skiing Women's Super G
466,Cross Country Skiing Women's 5 kilometres
466,Cross Country Skiing Women's 10 kilometres
466,Cross Country Skiing Women's 20 kilometres
469,"Cycling Men's 1,000 metres Time Trial"
469,"Cycling Men's Individual Pursuit, 4,000 metres"
470,"Wrestling Men's Welterweight, Freestyle"
476,"Wrestling Men's Bantamweight, Greco-Roman"
510,Rowing Women's Lightweight Double Sculls
512,Athletics Women's 800 metres
513,Rowing Women's Coxed Quadruple Sculls
535,Biathlon Men's 12.5 kilometres Pursuit
535,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay
537,Rhythmic Gymnastics Women's Individual
538,"Canoeing Men's Kayak Singles, Slalom"
541,Archery Men's Individual
541,Archery Men's Team
548,"Speed Skating Women's 1,500 metres"
548,Speed Skating Women's Team Pursuit (6 laps)
549,Cross Country Skiing Men's Sprint
551,Athletics Women's 400 metres
559,Figure Skating Women's Singles
562,"Speed Skating Men's 1,000 metres"
